trial_id,trial_path,model_key,model,pretrained,scenario_key,dataset,perturbation,accuracy,relative_accuracy,js,cka,drop_same,drop_id,domain_type,shift_type,num_classes,feature_type,alpha,sigma,grid_size,bilateral_d,sigma_color,sigma_space,gaussian_k,gaussian_sigma,gray_alpha,controlled_perturbation,LV_ratio,HFE_ratio,ESSIM,GC,texture_score,shape_score,feature_reliance,is_localwarp,setting_id,n_settings,is_sweep
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,resnet50__in1k,resnet50,in1k,imagenet_200__localwarp,imagenet_200,localwarp,0.939300000667572,1.0,-2.6921847997435355e-12,1.0,0.0,0.0,id,,200,shape,0,0.5,7,11,170,75,11,2.0,1.0,localwarp,0.9999946503684275,0.9999982841614824,1.0,1.0,0.999996467264955,1.0,0.0,True,alpha=0|sigma=0.5,35,True
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,resnet50__in1k,resnet50,in1k,imagenet_r__original,imagenet_r,original,0.4020666778087616,,,,,0.5372333228588104,natural_ood,style,200,clean,0,0.5,7,11,170,75,11,2.0,1.0,none,,,,,,,,False,default,1,False
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,resnet50__in1k,resnet50,in1k,imagenet_r__grayscale,imagenet_r,grayscale,0.36990001797676086,0.9189892740193799,0.19450202584266663,0.7722334861755371,0.03216665983200073,0.5693999826908112,natural_ood,style,200,color,0,0.5,7,11,170,75,11,2.0,1.0,grayscale,0.9999946503684275,0.9999982841614824,1.0,1.0,0.999996467264955,1.0,0.08101072598062009,False,gray_alpha=1.0,1,False
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,resnet50__in1k,resnet50,in1k,imagenet_r__bilateral,imagenet_r,bilateral,0.3986000120639801,0.9912693108273086,0.2720891535282135,0.6648486852645874,0.003466665744781494,0.5406999886035919,natural_ood,style,200,texture,0,0.5,7,11,170,75,11,2.0,1.0,bilateral,0.5347957138127921,0.4724570881872269,0.5416145937850794,0.8555104866051855,0.5036264010000095,0.6985625401951324,0.008730689172691375,False,bilateral_d=11|sigma_color=170|sigma_space=75,13,True
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,resnet50__in1k,resnet50,in1k,imagenet_r__patchshuffle,imagenet_r,patchshuffle,0.12956666946411133,0.31371725814802853,0.44985851645469666,0.5188617706298828,0.27250000834465027,0.8097333312034607,natural_ood,style,200,shape,0,0.5,7,11,170,75,11,2.0,1.0,patchshuffle,0.9999833964271825,0.9999899034947387,0.14988664658212353,0.017379087656658562,0.9999866499609605,0.08363286711939105,0.6862827418519715,False,grid_size=7,1,False
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,resnet50__in1k,resnet50,in1k,imagenet_r__patchrotation,imagenet_r,patchrotation,0.12506666779518127,0.30238414479345643,0.42158108949661255,0.5414642691612244,0.2770000100135803,0.8142333328723907,natural_ood,style,200,shape,0,0.5,7,11,170,75,11,2.0,1.0,patchrotation,0.9999646605996756,0.9999665383518032,0.37544417613098724,0.2176256308798563,0.9999655994757395,0.29653490350542183,0.6976158552065436,False,grid_size=7,1,False
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,resnet50__in1k,resnet50,in1k,imagenet_r__localwarp,imagenet_r,localwarp,0.4020666778087616,1.0,-1.1899187960916907e-13,1.0,0.0,0.5372333228588104,natural_ood,style,200,shape,0,0.5,7,11,170,75,11,2.0,1.0,localwarp,0.9999946503684275,0.9999982841614824,1.0,1.0,0.999996467264955,1.0,0.0,True,alpha=0|sigma=0.5,35,True
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet__original,imagenet,original,0.791379988193512,,,,,0.0,id,,1000,clean,0,0.5,7,11,170,75,11,2.0,1.0,none,,,,,,,,False,default,1,False
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet__grayscale,imagenet,grayscale,0.6744999885559082,0.8521217624642243,0.12770406901836395,0.836270809173584,0.11687999963760376,0.11687999963760376,id,,1000,color,0,0.5,7,11,170,75,11,2.0,1.0,grayscale,0.9999946503684275,0.9999982841614824,1.0,1.0,0.999996467264955,1.0,0.14787823753577567,False,gray_alpha=1.0,1,False
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet__bilateral,imagenet,bilateral,0.6584199666976929,0.8317770901567083,0.13525092601776123,0.8402368426322937,0.1329600214958191,0.1329600214958191,id,,1000,texture,0,0.5,7,11,170,75,11,2.0,1.0,bilateral,0.5347957138127921,0.4724570881872269,0.5416145937850794,0.8555104866051855,0.5036264010000095,0.6985625401951324,0.1682229098432917,False,bilateral_d=11|sigma_color=170|sigma_space=75,13,True
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet__patchshuffle,imagenet,patchshuffle,0.5623399615287781,0.7102153013916427,0.2088935375213623,0.7933205366134644,0.2290400266647339,0.2290400266647339,id,,1000,shape,0,0.5,7,11,170,75,11,2.0,1.0,patchshuffle,0.9999833964271825,0.9999899034947387,0.14988664658212353,0.017379087656658562,0.9999866499609605,0.08363286711939105,0.2897846986083573,False,grid_size=7,1,False
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet__patchrotation,imagenet,patchrotation,0.6004199981689453,0.7583947052340941,0.17695209383964539,0.8163406252861023,0.19095999002456665,0.19095999002456665,id,,1000,shape,0,0.5,7,11,170,75,11,2.0,1.0,patchrotation,0.9999646605996756,0.9999665383518032,0.37544417613098724,0.2176256308798563,0.9999655994757395,0.29653490350542183,0.24160529476590586,False,grid_size=7,1,False
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet__localwarp,imagenet,localwarp,0.791379988193512,1.0,0.0,1.0,0.0,0.0,id,,1000,shape,0,0.5,7,11,170,75,11,2.0,1.0,localwarp,0.9999946503684275,0.9999982841614824,1.0,1.0,0.999996467264955,1.0,0.0,True,alpha=0|sigma=0.5,35,True
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_200__original,imagenet_200,original,0.9332999587059021,,,,,0.0,id,,200,clean,0,0.5,7,11,170,75,11,2.0,1.0,none,,,,,,,,False,default,1,False
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_200__grayscale,imagenet_200,grayscale,0.8605999946594238,0.9216848354191185,0.11651447415351868,0.8431002497673035,0.07269996404647827,0.07269996404647827,id,,200,color,0,0.5,7,11,170,75,11,2.0,1.0,grayscale,0.9999946503684275,0.9999982841614824,1.0,1.0,0.999996467264955,1.0,0.0783151645808815,False,gray_alpha=1.0,1,False
